06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:22.451 30478-30893/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 10004,49,37,6,16,16,6,11,1,16,14,0,0,18091,13317,9,0
06-27 13:26:22.456 30478-30898/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 10001,60,50,8,16,16,8,20,1,16,25,0,0,19253,16487,8,0
06-27 13:26:22.466 30478-30903/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 10002,31,13,11,10,10,2,0,1,10,0,0,0,9703,5810,4,8
06-27 13:26:22.471 30478-30908/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 10000,35,25,11,10,10,9,4,1,10,5,0,0,10275,11922,10,2
06-27 13:26:22.483 30478-30913/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 10002,11,5,11,0,0,3,0,0,0,2,0,0,1254,7227,2,25
06-27 13:26:22.487 30478-30918/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 10001,20,15,11,3,3,7,3,1,3,4,0,0,4374,6762,7,11
06-27 13:26:22.496 30478-30923/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 10002,53,36,9,18,18,7,8,1,18,10,0,0,19617,13091,9,2
06-27 13:26:22.500 30478-30928/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 10000,49,37,9,16,16,9,8,1,16,11,0,0,17952,16898,10,0
06-27 13:26:22.509 30478-30933/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_16: 10001,19,10,11,4,4,4,0,1,4,1,0,0,4029,4654,3,17
06-27 13:26:22.514 30478-30938/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_17: 10001,11,3,11,0,0,2,0,1,0,0,0,0,1254,6347,2,24
06-27 13:26:22.521 30478-30943/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_18: 10000,24,15,11,5,5,5,3,1,5,4,0,0,5544,8288,5,11
06-27 13:26:22.528 30478-30948/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_19: 10001,21,11,11,5,5,3,0,1,5,2,0,0,5155,6993,5,14
06-27 13:26:22.534 30478-30953/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_20: 10001,17,7,11,3,3,3,0,1,3,0,0,0,3542,7107,4,21
06-27 13:26:22.541 30478-30958/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_21: 10001,27,20,11,7,7,9,2,2,7,2,0,0,7586,9163,10,5
06-27 13:26:22.551 30478-30963/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_22: 10002,19,8,11,4,4,2,0,1,4,1,0,0,4129,6593,3,20
06-27 13:26:22.557 30478-30968/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_23: 10001,15,8,11,2,2,4,0,1,2,1,0,0,2628,4992,5,18
06-27 13:26:22.565 30478-30973/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_24: 10002,12,6,11,0,0,4,1,1,0,1,0,0,1388,7447,4,20
06-27 13:26:32.243 30478-30855/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 20001,86,54,27,22,22,8,15,1,22,23,0,0,33737,19694,11,1
06-27 13:26:32.369 30478-30860/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 20003,90,57,30,25,25,16,10,3,25,13,0,0,35782,26730,11,0
06-27 13:26:32.383 30478-30865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 20002,60,36,31,12,12,11,5,5,12,8,0,0,20339,21143,12,2
06-27 13:26:32.394 30478-30870/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 20001,44,20,31,6,6,11,1,0,6,3,0,0,7577,11214,12,5
06-27 13:26:32.416 30478-30875/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 20002,40,25,31,5,4,11,1,5,4,4,0,0,8107,11122,14,7
06-27 13:26:32.421 30478-30880/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 20001,68,40,31,16,16,12,5,4,16,8,0,0,23040,21015,13,1
06-27 13:26:32.428 30478-30885/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 20001,136,94,25,44,44,15,23,1,44,34,0,0,63684,35203,9,0
06-27 13:26:32.438 30478-30890/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 20000,44,23,31,6,6,11,1,4,6,2,0,0,8130,11962,12,8
06-27 13:26:32.451 30478-30895/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 20003,148,104,25,49,49,16,25,1,49,38,0,0,70784,39385,11,0
06-27 13:26:32.456 30478-30900/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 20001,153,109,25,49,49,17,30,1,49,42,0,0,69315,39414,9,0
06-27 13:26:32.464 30478-30905/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 20001,57,29,31,11,11,10,4,3,11,5,0,0,13543,15582,11,2
