06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:09:50.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 320000,1880,1843,625,627,627,617,1,0,627,599,0,0,1102346,1082937,11,0
06-26 16:10:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 330000,1940,1907,645,647,647,637,1,0,647,623,0,0,1137732,1119210,11,0
06-26 16:10:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 340000,2000,1969,665,667,667,657,1,0,667,645,0,0,1173104,1155023,11,0
06-26 16:10:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 350000,2062,2028,685,688,688,676,1,0,688,664,0,0,1210089,1188744,11,0
06-26 16:10:30.605 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 360010,2120,2088,705,707,707,696,1,0,707,685,0,0,1243788,1224140,11,0
06-26 16:10:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 370000,2166,2144,725,720,720,717,1,0,720,707,0,0,1267569,1260531,11,0
06-26 16:10:50.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 380000,2226,2198,745,740,740,736,1,0,740,722,0,0,1302935,1293222,11,0
06-26 16:11:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 390000,2280,2248,765,757,757,756,1,0,757,735,0,0,1333346,1326491,11,0
06-26 16:11:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 400000,2334,2308,785,774,774,775,1,0,774,759,0,0,1363753,1361080,11,0
06-26 16:11:20.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 410000,2388,2366,805,791,791,794,1,0,791,781,0,0,1394174,1395087,11,0
